SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEA002179,379670100G,臺北市政府,臺北市市場處,商圈市集,河濱一商場1F 121號攤位,中華電信,,108,臺北市,萬華區,108臺北市萬華區環河南路一段42號,25.04828028,121.5052641,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"No.121 on 1F,Riverside Market",Taipei City,Wanhua District,"No. 42, Sec. 1, Huanhe S. Rd. Wanhua Dist., Taipei City?108?, Taiwan,R.O.C."
TPEA002180,379670100G,臺北市政府,臺北市市場處,商圈市集,河濱一商場1F 110號攤位,中華電信,,108,臺北市,萬華區,108臺北市萬華區環河南路一段42號,25.04828028,121.5052641,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"No.110 on 1F,Riverside Market",Taipei City,Wanhua District,"No. 42, Sec. 1, Huanhe S. Rd. Wanhua Dist., Taipei City?108?, Taiwan,R.O.C."
TPEA002181,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場1右側,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05020592,121.5107219,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Right side of Square1 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002182,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場1左側,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05020592,121.5107219,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Left side of Square1 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002183,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  003攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05008341,121.5112766,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.003 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002184,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  006攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05008341,121.5112776,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.006 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002185,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場2中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.050179,121.510733,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square2 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002186,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  021攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05008351,121.5112766,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.021 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002187,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F  022攤位旁,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05008341,121.5112566,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Next to No.022 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
TPEA002188,379670100G,臺北市政府,臺北市市場處,商圈市集,台北地下街B1F 廣場3中央,中華電信,,100,臺北市,中正區,100臺北市中正區市民大道一段100號,25.05017747,121.5107965,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Center of Square3 on B1F,Taipei City Mall",Taipei City,Zhongzheng District,"No. 100, Sec. 1, Civic Blvd., Zhongzheng Dist., Taipei City100?, Taiwan,R.O.C."
