country,city,village,number,name,address,administration,latitude,longitude,grade,type2,type
新北市,淡水區,沙崙里,F100000503,漁人碼頭北邊停車場4-女廁,"觀海路135號 ",縣市政府,25.18139500000000000,121.41677700000000000,特優級,女廁所,觀光地區及風景區
新北市,淡水區,沙崙里,F100000500,漁人碼頭北邊停車場1-女廁,"觀海路135號 ",縣市政府,25.18139500000000000,121.41677700000000000,特優級,女廁所,觀光地區及風景區
新北市,淡水區,鄧公里,F100000277,淡水鄞山寺-女廁,"鄧公路15號 ",其他,25.16887300000000000,121.44824400000000000,優等級,女廁所,寺廟教堂等宗教活動場所
彰化縣,鹿港鎮,永安里,N020000226,鹿港基督教醫院(男廁),彰化縣鹿港鎮中正路480號,縣市政府,24.06037900000000000,120.43821100000000000,特優級,男廁所,醫院
彰化縣,鹿港鎮,永安里,N020000223,鹿港基督教醫院路加醫療大樓(男廁),彰化縣鹿港鎮永安二路37號,縣市政府,24.06073500000000000,120.43998600000000000,特優級,男廁所,醫院
臺南市,後壁區,竹新里,D050000054,中油新營服務區北上加油站男廁,臺南市後壁區竹新里新厝７０號,經濟部,23.33998400000000000,120.31328000000000000,特優級,男廁所,加油站
臺南市,善化區,光文里,D190000021,善化火車站男廁,臺南市善化區光文里中山路１號,交通部,23.13310300000000000,120.30645900000000000,特優級,男廁所,鐵路局
臺中市,北　區,光大里,B050000019,中央市場B(女廁),臺中市北區光大里五權路176號,縣市政府,24.14961200000000000,120.67631700000000000,特優級,女廁所,市場
臺中市,北　區,中達里,B050000365,維新醫院2F(女廁),臺中市北區育德路185號,縣市政府,24.15718000000000000,120.67234000000000000,特優級,女廁所,醫院
臺南市,柳營區,旭山里,D040000092,江南渡假村入口右側女廁,臺南市柳營區旭山里新吉庄６０號,經濟部,23.26620300000000000,120.39366800000000000,特優級,女廁所,觀光地區及風景區
新竹縣,新豐鄉,重興村,J060000016,新庄子公有零售市場女廁,新竹縣新豐鄉重興村建興路二段759號,縣市政府,24.90104911844590000,120.98616063594800000,特優級,女廁所,市場
臺北市,南港區,萬福里,A090000546,聯合醫院忠孝院區1F急診觀察室無障礙,臺北市南港區同德路87號,縣市政府,25.04650600000000000,121.58615700000000000,特優級,無障礙廁所,醫院
臺北市,南港區,萬福里,A090000543,聯合醫院忠孝院區2F男,臺北市南港區同德路87號,縣市政府,25.04650600000000000,121.58615700000000000,特優級,男廁所,醫院
臺北市,萬華區,保德里,A070000843,聯合醫院萬華門診部1樓女,臺北市萬華區東園街152號,縣市政府,25.02317500000000000,121.49761300000000000,特優級,女廁所,醫院
臺北市,大同區,玉泉里,A060000039,聯合醫院中興院區2A-2廁所,臺北市大同區鄭州路145號,縣市政府,25.05069200000000000,121.50888700000000000,特優級,女廁所,醫院
臺北市,大同區,玉泉里,A060000036,聯合醫院中興院區1B-2廁所,臺北市大同區鄭州路145號,縣市政府,25.05069200000000000,121.50888700000000000,特優級,女廁所,醫院
臺北市,大同區,玉泉里,A060000033,聯合醫院中興院區1A-1廁所,臺北市大同區鄭州路145號,縣市政府,25.05069200000000000,121.50888700000000000,特優級,男廁所,醫院
臺北市,中正區,愛國里,A050000383,聯合醫院和平婦幼院區(和平)B棟B1,臺北市中正區廣州街14號,縣市政府,25.03552000000000000,121.50812000000000000,特優級,混合廁所,醫院
臺北市,萬華區,新安里,A070000720,統一超商臺北市萬大門市男女,臺北市萬華區萬大路245號247號1樓,縣市政府,25.02616400000000000,121.50059400000000000,特優級,混合廁所,超市
臺北市,文山區,萬興里,A080001311,木柵纜車動物園站3F男,臺北市文山區新光路二段8號,縣市政府,24.99610500000000000,121.57633100000000000,特優級,男廁所,捷運車站
臺北市,中山區,成功里,A040000550,捷運劍南路站男,臺北市中山區北安路798號,縣市政府,25.08479000000000000,121.55554200000000000,特優級,男廁所,捷運車站
南投縣,埔里鎮,北安里,M020000015,埔里鎮綜合球場及網球場(男廁),南投縣埔里鎮北安里六合路228號,縣市政府,23.97005621579670000,120.97075343130200000,特優級,男廁所,文化育樂活動場所
南投縣,埔里鎮,大湳里,M020000010,埔里鎮地理中心碑女廁,南投縣埔里鎮中山路一段421號,縣市政府,23.97383564916240000,120.97990825771800000,特優級,女廁所,公園
南投縣,南投市,三和里,M010000007,南投市停三停車場女廁,南投市三和里三和三路,縣市政府,23.90576372581220000,120.68835496902500000,特優級,女廁所,公園
南投縣,南投市,漳和里,M010000054,麥當勞餐廳南投店2樓男廁,南投市漳和里南崗二路313號,其他,23.91340000000000000,120.67770000000000000,特優級,男廁所,餐廳
南投縣,南投市,平山里,M010000267,南投縣農會農產館1樓女廁,南投市平山里南崗三路1號,其他,23.92168837035740000,120.67229330537900000,特優級,女廁所,公路車站服務區及休息站
南投縣,南投市,三興里,M010000122,南投縣政府文化局地下室女廁,南投市三興里建國路135號,其他,23.90800000000000000,120.68190000000000000,特優級,女廁所,各級社教機關
南投縣,南投市,三和里,M010000168,南投縣政府B棟3樓男廁,南投市三和里中興路660號,其他,23.90280000000000000,120.69050000000000000,特優級,男廁所,公家機關設置供民眾使用者
南投縣,名間鄉,濁水村,M060000030,濁水火車站女廁,南投縣名間鄉濁水村車站路15號,交通部,23.83466666666670000,120.70472222222200000,特優級,女廁所,鐵路局
新北市,烏來區,烏來里,F290000094,烏來立體停車場-男廁,烏來區烏來里烏來街47號,其他,24.86535389002400000,121.55169904232000000,特優級,男廁所,公家機關設置供民眾使用者
新北市,萬里區,野柳里,F280000096,新空間國際有限公司-男廁,野柳里港東路167之1號,其他,25.20653000000000000,121.68966800000000000,特優級,男廁所,觀光地區及風景區
